list_position,album_name,artist_names
1,Abbey Road,The Beatles
2,Pet Sounds,The Beach Boys
3,London Calling,The Clash
4,Thriller,Michael Jackson
5,The Velvet Underground & Nico,The Velvet Underground; Nico
6,Born to Run,Bruce Springsteen
7,The Dark Side of the Moon,Pink Floyd
8,Sgt. Pepper's Lonely Hearts Club Band,The Beatles
9,Remain in Light,Talking Heads
10,OK Computer,Radiohead
11,Blonde on Blonde,Bob Dylan
12,Let It Bleed,The Rolling Stones
13,Led Zeppelin IV,Led Zeppelin
14,Doolittle,Pixies
15,Unknown Pleasures,Joy Division
16,Who's Next,The Who
17,Hounds of Love,Kate Bush
18,Hunky Dory,David Bowie
19,What's Going On,Marvin Gaye
20,In the Aeroplane Over the Sea,Neutral Milk Hotel
21,Astral Weeks,Van Morrison
22,The Beatles,The Beatles
23,It Takes a Nation of Millions to Hold Us Back,Public Enemy
24,After the Gold Rush,Neil Young
25,So,Peter Gabriel
26,At Folsom Prison,Johnny Cash
27,Are You Experienced,The Jimi Hendrix Experience
28,Blue,Joni Mitchell
29,Back in Black,AC/DC
30,Highway 61 Revisited,Bob Dylan
31,Rocket to Russia,Ramones
32,Nevermind,Nirvana
33,Bridge Over Troubled Water,Simon & Garfunkel
34,The Joshua Tree,U2
35,Appetite for Destruction,Guns N' Roses
36,Talking Book,Stevie Wonder
37,Synchronicity,The Police
38,The Wall,Pink Floyd
39,Bat Out of Hell,Meat Loaf
40,Revolver,The Beatles
41,Horses,Patti Smith
42,Darkness on the Edge of Town,Bruce Springsteen
43,Ziggy Stardust,David Bowie
44,Bitches Brew,Miles Davis
45,Pink Moon,Nick Drake
46,Exile on Main Street,The Rolling Stones
47,The Chronic,Dr. Dre
48,Raw Power,The Stooges
49,Paranoid,Black Sabbath
50,Purple Rain,Prince; The Revolution
51,Daydream Nation,Sonic Youth
52,Let It Be,The Replacements
53,Exodus,Bob Marley & the Wailers
54,Is This It,The Strokes
55,Steve McQueen,Prefab Sprout
56,Quadrophenia,The Who
57,Genesis,Genesis
58,Rumours,Fleetwood Mac
59,Loveless,My Bloody Valentine
60,Music from Big Pink,The Band
61,Dookie,Green Day
62,Enter the Wu-Tang (36 Chambers),The Wu-Tang Clan
63,Document,R.E.M.
64,The Doors,The Doors
65,Funeral,Arcade Fire
66,Duty Now for the Future,Devo
67,Songs of Leonard Cohen,Leonard Cohen
68,The Miseducation of Lauryn Hill,Ms. Lauryn Hill
69,The Smiths,The Smiths
70,Rubber Soul,The Beatles
71,Rain Dogs,Tom Waits
72,Blood Sugar Sex Magik,Red Hot Chili Peppers
73,Kid A,Radiohead
74,Blood on the Tracks,Bob Dylan
75,The Blueprint,Jay-Z
76,Agatis Byrjun,Sigur Ros
77,Tea for the Tillerman,Cat Stevens
78,There's a Riot Goin' On,Sly & the Family Stone
79,Debut,Björk
80,Graceland,Paul Simon
81,Harvest,Neil Young
82,Siamese Dream,Smashing Pumpkins
83,Imagine,John Lennon
84,Tommy,The Who
85,Off the Wall,Michael Jackson
86,Goodbye Yellow Brick Road,Elton John
87,Straight Outta Compton,N.W.A
88,The Downward Spiral,Nine Inch Nails
89,Paul's Boutique,Beastie Boys
90,The Shape of Punk to Come: A Chimerical Bombination in 12 Bursts,Refused
91,The Clash,The Clash
92,Slanted and Enchanted,Pavement
93,Mothership Connection,Parliament
94,Kill ‘Em All,Metallica
95,Wish You Were Here,Pink Floyd
96,Midnite Vultures,Beck
97,Either/Or,Elliott Smith
98,Physical Graffiti,Led Zeppelin
99,Fear of Music,Talking Heads
100,The College Dropout,Kanye West
